num_players,num_rounds,round_index,pairs
21,21,6,"(0,12);(1,20);(3,7);(5,9);(6,11);(8,14);(10,17);(13,16)"
21,21,7,"(4,14);(5,12);(7,18);(8,15);(9,13);(10,19);(11,16);(17,20)"
21,21,8,"(2,19);(4,9);(5,17);(6,18);(7,13);(8,11);(10,12);(14,16)"
21,21,9,"(0,11);(3,14);(4,12);(5,19);(6,10);(7,9);(8,20);(16,18)"
21,21,10,"(0,17);(1,16);(2,9);(3,18);(4,19);(6,15);(7,20);(8,10)"
21,21,11,"(0,15);(1,13);(2,18);(3,11);(4,10);(5,8);(6,7);(12,14)"
21,21,12,"(0,13);(1,18);(2,15);(3,16);(4,17);(5,6);(7,14);(12,20)"
21,21,13,"(0,14);(1,11);(2,8);(3,13);(4,20);(5,7);(12,18);(15,17)"
21,21,14,"(0,16);(1,15);(2,10);(3,9);(4,5);(12,17);(14,18);(19,20)"
21,21,15,"(0,20);(1,10);(2,7);(3,5);(6,17);(11,19);(13,18);(15,16)"
21,21,16,"(0,18);(1,9);(2,11);(3,6);(4,15);(5,20);(8,19);(14,17)"
21,21,17,"(0,19);(1,14);(2,6);(3,4);(5,15);(9,17);(12,16);(18,20)"
21,21,18,"(1,6);(2,4);(3,19);(5,14);(9,20);(10,18);(11,17);(12,13)"
21,21,19,"(1,7);(2,13);(3,12);(4,11);(6,8);(15,20);(16,17);(18,19)"
21,21,20,"(0,9);(1,8);(2,16);(10,20);(11,14);(12,15);(13,19);(17,18)"
22,11,0,"(0,14);(1,3);(4,6);(5,7);(8,15);(10,11);(17,19);(18,21)"
22,11,1,"(0,21);(2,6);(3,4);(9,12);(11,17);(13,19);(15,20);(16,18)"
22,11,2,"(2,14);(3,16);(4,7);(5,8);(9,10);(11,20);(12,18);(13,15)"
22,11,3,"(0,3);(1,7);(2,21);(4,18);(5,17);(6,12);(8,20);(13,16)"
22,11,4,"(0,11);(1,6);(2,18);(3,10);(5,21);(7,9);(8,13);(14,17)"
22,11,5,"(0,1);(4,19);(5,6);(8,18);(9,13);(10,20);(12,21);(14,15)"
22,11,6,"(2,5);(3,7);(6,10);(9,15);(12,20);(13,18);(16,19);(17,21)"
22,11,7,"(0,8);(1,10);(2,4);(3,11);(6,15);(13,20);(14,16);(19,21)"
22,11,8,"(0,12);(1,13);(3,14);(4,9);(5,19);(7,11);(10,15);(16,17)"
22,11,9,"(0,6);(1,5);(2,16);(7,14);(8,9);(11,12);(17,20);(18,19)"
22,11,10,"(1,17);(2,11);(4,12);(7,15);(8,14);(9,19);(10,16);(20,21)"
22,22,0,"(0,5);(1,8);(2,6);(4,12);(7,19);(9,14);(15,17);(16,20)"
22,22,1,"(0,2);(1,19);(5,17);(6,11);(7,15);(8,20);(10,14);(13,21)"
22,22,2,"(0,17);(5,16);(6,21);(7,10);(9,20);(12,13);(14,15);(18,19)"
22,22,3,"(0,12);(3,14);(4,5);(6,18);(7,20);(9,13);(10,16);(11,21)"
22,22,4,"(0,10);(1,18);(3,5);(4,13);(6,16);(7,17);(8,19);(12,20)"
22,22,5,"(2,3);(4,6);(7,9);(8,11);(12,19);(14,20);(15,18);(16,17)"
22,22,6,"(0,8);(1,10);(2,7);(3,11);(4,9);(5,12);(13,16);(15,20)"
22,22,7,"(0,11);(1,3);(4,8);(9,15);(12,18);(13,14);(16,19);(17,21)"
22,22,8,"(0,18);(1,14);(2,9);(3,6);(5,8);(10,19);(11,20);(12,16)"
22,22,9,"(1,4);(2,10);(3,15);(5,7);(8,14);(9,19);(13,18);(20,21)"
22,22,10,"(0,13);(1,12);(3,7);(4,10);(6,9);(11,18);(17,20);(19,21)"
22,22,11,"(0,14);(1,5);(2,16);(3,10);(6,8);(7,11);(9,17);(18,21)"
22,22,12,"(0,15);(1,11);(2,13);(4,20);(5,19);(6,17);(7,14);(8,18)"
22,22,13,"(0,16);(2,15);(3,12);(4,21);(6,14);(8,9);(11,19);(17,18)"
22,22,14,"(1,21);(2,5);(4,11);(6,15);(7,8);(9,18);(13,20);(14,16)"
22,22,15,"(0,19);(3,20);(5,6);(7,21);(9,10);(11,16);(12,17);(13,15)"
22,22,16,"(1,17);(2,12);(3,4);(5,10);(6,13);(11,15);(16,21);(18,20)"
